vehicle_type,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),age_of_vehicle,accident_severity,number_of_vehicles,number_of_casualties,day_of_week,road_type,speed_limit,urban_or_rural_area,sex_of_casualty
9,1,56,9,2198,7,3,2,2,4,6,30,1,2
9,1,37,7,1968,1,3,2,2,4,6,30,1,1
9,1,47,8,1560,5,3,2,4,1,6,30,1,1
9,1,47,8,1560,5,3,2,4,1,6,30,1,2
9,1,47,8,1560,5,3,2,4,1,6,30,1,2
9,1,47,8,1560,5,3,2,4,1,6,30,1,1
19,2,32,6,1753,9,3,1,1,6,6,30,1,2
9,1,37,7,1560,1,3,2,1,2,6,30,1,1
9,1,24,5,1798,9,3,2,1,4,6,30,1,2
9,2,59,9,2204,8,3,2,1,5,6,30,1,2
9,1,40,7,1995,13,3,3,2,2,6,40,1,1
9,2,71,10,1388,7,3,3,2,2,6,40,1,2
9,1,20,4,1390,13,3,2,4,1,6,30,1,1
9,1,20,4,1390,13,3,2,4,1,6,30,1,1
9,1,20,4,1390,13,3,2,4,1,6,30,1,1
9,2,43,7,1560,7,3,2,4,1,6,30,1,2
9,2,35,6,1798,6,3,2,1,3,6,30,1,2
9,2,54,8,1248,3,2,1,1,4,3,30,1,1
9,2,22,5,1299,10,3,2,1,1,6,30,1,2
9,1,54,8,1086,9,3,2,2,4,6,30,1,1
9,1,49,8,1995,8,3,2,2,4,6,30,1,1
9,1,63,9,1598,1,3,2,2,6,6,30,1,1
9,1,63,9,1598,1,3,2,2,6,6,30,1,1
9,1,48,8,1587,12,3,2,2,1,3,40,1,1
9,1,21,5,1368,7,3,2,2,1,3,40,1,2
9,1,34,6,1242,8,3,2,1,4,6,30,1,1
9,1,53,8,1598,12,2,1,1,6,6,30,1,1
8,1,39,7,2148,5,3,2,1,6,6,30,1,1
5,1,26,6,998,14,3,2,1,3,6,30,1,1
9,1,43,7,1360,13,3,3,3,7,6,30,1,2
9,1,43,7,1360,13,3,3,3,7,6,30,1,2
9,2,34,6,1794,7,3,3,3,7,6,30,1,2
9,2,28,6,1242,9,3,2,1,3,6,30,1,2
9,1,46,8,1995,8,3,2,1,2,3,30,1,1
9,2,55,8,1360,11,3,2,1,4,6,30,1,2
9,2,56,9,1397,13,3,2,1,1,6,30,1,2
9,2,46,8,1149,5,3,3,1,2,6,30,1,2
9,1,46,8,1598,15,3,2,1,6,3,30,1,2
9,2,37,7,1348,7,3,2,1,4,1,40,1,2
3,1,24,5,124,8,3,3,1,6,6,30,1,1
3,1,23,5,124,11,2,1,1,3,6,30,1,1
9,2,18,4,1229,6,3,2,1,2,3,30,1,2
9,1,47,8,999,17,3,1,1,7,6,30,1,2
9,1,26,6,1229,10,3,2,1,7,3,30,1,1
9,2,30,6,2000,8,3,1,1,7,6,20,1,2
9,2,26,6,1600,11,3,1,4,6,6,30,1,2
9,2,26,6,1600,11,3,1,4,6,6,30,1,2
9,2,26,6,1600,11,3,1,4,6,6,30,1,1
9,2,26,6,1600,11,3,1,4,6,6,30,1,2
9,2,31,6,1598,7,3,1,1,7,6,30,1,2
9,1,60,9,1242,8,3,2,3,2,6,30,1,1
9,1,44,7,2204,10,3,2,3,2,6,30,1,1
9,1,44,7,2204,10,3,2,3,2,6,30,1,2
2,1,30,6,124,2,3,2,1,7,6,30,1,1
9,2,24,5,1598,14,3,2,1,7,6,30,1,2
3,2,39,7,599,13,3,2,1,3,6,30,1,2
8,1,37,7,1995,11,3,1,1,4,6,30,1,1
9,2,39,7,1364,8,3,2,3,4,6,60,1,2
9,2,57,9,1388,11,3,3,1,6,6,30,1,1
9,2,46,8,1999,6,2,1,1,6,6,30,1,2
